SetID	MetaSKATO_P	METASKATO_exome_wide_check	RE_ORsum	RE_ORsum_L95	RE_ORsum_U95	RE_ORsum_SE	RE_tau2	RE_het	RE_hetP	FE_ORsum	FE_ORsum_L95	FE_ORsum_U95	FE_ORsum_SE	FE_tau2	FE_het	FE_hetP	cohort1_P.value	cohort1_N.Marker.All	cohort1_N.Marker.Test	cohort1_MAC	cohort1_m	cohort1_Method.bin	cohort1_MAP	cohort1_cases_cMAC	cohort1_cases_cMAF	cohort1_controls_cMAC	cohort1_controls_cMAF	cohort1_no_of_carriers	cohort1_enrichment_ratio	cohort1_P_regression	cohort1_OR_noOfMutations	cohort1_OR_L95	cohort1_OR_U95	cohort1_eff_estimate	cohort1_eff_stdErr	cohort1_exome_wide_check	cohort2_P.value	cohort2_N.Marker.All	cohort2_N.Marker.Test	cohort2_MAC	cohort2_m	cohort2_Method.bin	cohort2_MAP	cohort2_cases_cMAC	cohort2_cases_cMAF	cohort2_controls_cMAC	cohort2_controls_cMAF	cohort2_no_of_carriers	cohort2_enrichment_ratio	cohort2_P_regression	cohort2_OR_noOfMutations	cohort2_OR_L95	cohort2_OR_U95	cohort2_eff_estimate	cohort2_eff_stdErr	cohort2_exome_wide_check	chr	start	end	gene_type	strand	additional_info1	additional_info2
Gene148	0.746703613094718	NA	1.083	0.816	1.438	0.145	0	0.39300649403434	0.53072327939046	1.363	1.026	1.81	0.145	1.6546035	15.9444394266463	6.52291129974447e-05	0.649120767119265	10	10	48	16	MA	-1	29	0.009864	19	0.006209	16	1.589	0.469090819287183	1.117	0.828	1.507	0.111	0.153	NA	0.257968645797218	10	8	19	17	ER	8.85384495526809e-07	9	0.004639	10	0.004854	17	0.956	0.679823862863133	0.832	0.348	1.99	-0.184	0.445	NA	1	221000	222000	non_coding	-	info148	info148
Gene350	0.746852438435746	NA	1.029	0.601	1.763	0.275	0.0616835	1.63353172871016	0.201215255945508	1.896	1.269	2.835	0.205	0.6764035	7.9471265194193	0.0048163789229263	0.496288073765837	10	10	45	30	MA	-1	27	0.009184	18	0.005882	30	1.561	0.320461002894668	1.28	0.787	2.082	0.247	0.248	NA	0.570960589890842	10	8	25	19	ER.A	-1	9	0.004639	16	0.007767	19	0.597	0.38574784460916	0.728	0.356	1.491	-0.317	0.365	NA	1	524000	525000	non_coding	-	info350	info350
Gene581	0.750061998990584	NA	0.871	0.487	1.558	0.297	0	0.0326150783220459	0.856684341317215	2.387	1.335	4.268	0.297	2.744549	16.3487106642135	5.26919975080142e-05	0.618294678330794	10	5	20	16	ER	3.33336262818681e-06	9	0.003061	11	0.003595	16	0.851	0.639851960315217	0.831	0.383	1.803	-0.185	0.395	NA	0.946158415235836	10	8	9	5	ER	0.0102569480563564	4	0.002062	5	0.002427	5	0.85	0.864071637736141	0.926	0.384	2.233	-0.077	0.449	NA	1	870500	871500	protein_coding	+	info581	info581
Gene908	0.75030724693811	NA	1.01	0.653	1.563	0.223	0	0.395285220049883	0.529534266386695	2.055	1.328	3.18	0.223	1.1711555	12.0856062434629	0.000508125765607326	0.843874252235124	10	9	29	19	ER.A	-1	16	0.005442	13	0.004248	19	1.281	0.673943865347837	1.126	0.648	1.956	0.119	0.282	NA	0.602127613652968	10	10	26	21	ER.A	-1	11	0.00567	15	0.007282	21	0.779	0.639460707486422	0.844	0.415	1.717	-0.17	0.363	NA	1	1361000	1362000	non_coding	-	info908	info908
Gene641	0.751207709075427	NA	0.893	0.603	1.325	0.201	0	0.570153548208604	0.450197906870285	1.801	1.214	2.67	0.201	2.782442	31.7919988933462	1.71598184550703e-08	0.481947588037888	10	8	27	12	ER.A	-1	9	0.003061	18	0.005882	12	0.52	0.371850160872201	0.802	0.494	1.301	-0.221	0.247	NA	0.733454902499864	10	10	23	17	ER.A	-1	12	0.006186	11	0.00534	17	1.158	0.773438166305091	1.105	0.561	2.176	0.1	0.346	NA	1	960500	961500	protein_coding	+	info641	info641
Gene821	0.751676975199564	NA	1.069	0.708	1.615	0.211	0	0.240757356927964	0.623659646070396	2.24	1.482	3.384	0.211	3.3595075	33.239562590867	8.14758971401375e-09	0.981028833541076	10	8	34	17	ER.A	-1	16	0.005442	18	0.005882	17	0.925	0.994448917399234	0.998	0.608	1.64	-0.002	0.253	NA	0.102022988328526	10	8	18	11	ER	0.000132265371102609	11	0.00567	7	0.003398	11	1.669	0.559174813187924	1.249	0.593	2.63	0.222	0.38	NA	1	1230500	1231500	protein_coding	+	info821	info821
Gene593	0.753414079925444	NA	0.905	0.608	1.347	0.203	0	0.311017724647226	0.577056339338999	1.805	1.212	2.688	0.203	1.0123775	12.8014035169524	0.000346359410736241	0.569579856420996	10	9	20	9	ER	0.000876512874353409	10	0.003401	10	0.003268	9	1.041	0.977819007646456	0.993	0.593	1.661	-0.007	0.263	NA	0.690839770614999	10	6	21	10	ER.A	-1	8	0.004124	13	0.006311	10	0.653	0.456042529784733	0.788	0.421	1.475	-0.238	0.32	NA	1	888500	889500	protein_coding	+	info593	info593
Gene961	0.754434492055299	NA	1.05	0.661	1.668	0.236	0	0.951839443911965	0.329251524267327	2.663	1.677	4.229	0.236	0.7398755	7.6275114881267	0.00574845636482857	0.395195644990033	10	10	21	13	ER.A	-1	13	0.004422	8	0.002614	13	1.692	0.394090036810413	1.339	0.684	2.623	0.292	0.343	NA	0.73281255306002	10	8	22	14	ER.A	-1	9	0.004639	13	0.006311	14	0.735	0.60296774515243	0.844	0.446	1.597	-0.169	0.325	NA	1	1440500	1441500	protein_coding	+	info961	info961
Gene784	0.75626807989775	NA	1.134	0.754	1.705	0.208	0	0.00389524330865194	0.950234831065302	3.025	2.012	4.549	0.208	1.7296455	20.9331066870264	4.75603453709006e-06	0.906609040065149	10	10	26	18	ER.A	-1	14	0.004762	12	0.003922	18	1.214	0.709945674311479	1.118	0.62	2.016	0.112	0.301	NA	0.808165879751335	10	10	26	15	ER.A	-1	15	0.007732	11	0.00534	15	1.448	0.631730141889799	1.148	0.653	2.018	0.138	0.288	NA	1	1175000	1176000	non_coding	-	info784	info784
Gene618	0.75681302427613	NA	0.852	0.35	2.074	0.454	0.1666955	1.66170802288055	0.197372867764557	2.088	1.058	4.119	0.347	0.5481955	3.17609569818631	0.0747230781449202	0.820269059816085	10	5	14	10	ER	0.000229154698148551	8	0.002721	6	0.001961	10	1.388	0.590079726487555	1.271	0.532	3.037	0.239	0.445	NA	0.288269495877503	10	7	13	9	ER	0.000330699337857894	3	0.001546	10	0.004854	9	0.319	0.221855326800673	0.509	0.172	1.504	-0.676	0.553	NA	1	926000	927000	non_coding	-	info618	info618
Gene300	0.757013639958985	NA	1.158	0.513	2.614	0.415	0.170974	1.93598990510028	0.164104606246721	4.844	2.752	8.525	0.288	12.786658	71.0000164233727	0	0.793106684851998	10	8	18	11	ER	0.000190581805090656	7	0.002381	11	0.003595	11	0.662	0.558270077457037	0.811	0.402	1.635	-0.209	0.358	NA	0.233404864048295	10	7	13	7	ER	0.00234410992741884	10	0.005155	3	0.001456	7	3.541	0.194375561386138	1.881	0.724	4.884	0.632	0.487	NA	1	449000	450000	non_coding	-	info300	info300
Gene1224	0.757662106544587	NA	1.009	0.468	2.174	0.392	0.209786	3.06737653302061	0.0798782825293136	2.558	1.691	3.868	0.211	0.1635175	2.6114146903902	0.106097076670507	0.246316987708386	10	6	20	13	ER	2.74040474707289e-05	13	0.004422	7	0.002288	13	1.933	0.225643301354804	1.566	0.758	3.233	0.448	0.37	NA	0.212455219699629	10	10	26	9	ER.A	-1	7	0.003608	19	0.009223	9	0.391	0.184050690624247	0.711	0.43	1.176	-0.341	0.257	NA	1	1835000	1836000	non_coding	-	info1224	info1224
Gene298	0.758119276296757	NA	0.902	0.537	1.514	0.264	0	0.0378586792001912	0.845727187865917	1.899	1.131	3.188	0.264	2.0860495	14.2943487612523	0.000156333515944351	0.723203445498934	10	9	32	27	ER.A	-1	15	0.005102	17	0.005556	27	0.918	0.836206531226719	0.935	0.495	1.766	-0.067	0.324	NA	0.711231413402904	10	8	15	12	ER	2.63724329966812e-05	6	0.003093	9	0.004369	12	0.708	0.699275445207596	0.838	0.343	2.051	-0.176	0.457	NA	1	446000	447000	non_coding	-	info298	info298
Gene52	0.758980469847341	NA	0.972	0.629	1.502	0.222	0	0.1693217236432	0.680715318089356	2.761	1.786	4.268	0.222	1.898935	19.7892445455895	8.64678737277913e-06	0.83583149718269	10	5	19	12	ER	3.94290587053904e-05	8	0.002721	11	0.003595	12	0.757	0.692028603008866	0.874	0.448	1.703	-0.135	0.341	NA	0.51515084233068	10	8	23	13	ER.A	-1	12	0.006186	11	0.00534	13	1.158	0.864580793541815	1.051	0.592	1.865	0.05	0.293	NA	1	77000	78000	non_coding	-	info52	info52
Gene397	0.75998993574591	NA	1.163	0.695	1.945	0.263	0	0.0569661014260561	0.811357041903106	4.736	2.831	7.922	0.263	2.2800295	15.4669627702606	8.39600085463799e-05	0.986474700604348	10	5	14	11	ER	0.00014647976074744	7	0.002381	7	0.002288	11	1.041	0.896856607504459	1.062	0.429	2.628	0.06	0.462	NA	0.706368991796392	10	10	28	19	ER.A	-1	16	0.008247	12	0.005825	19	1.416	0.541684699551536	1.215	0.651	2.268	0.194	0.319	NA	1	594500	595500	protein_coding	+	info397	info397
Gene1157	0.760188512786877	NA	1.128	0.707	1.8	0.239	0.0171235	1.17459330216719	0.278459446761224	3.242	2.108	4.986	0.22	4.1651235	43.4681090781176	4.30925295447082e-11	0.868259242532024	10	8	25	14	ER.A	-1	12	0.004082	13	0.004248	14	0.961	0.75018915409045	0.911	0.514	1.614	-0.093	0.292	NA	0.372189021221442	10	8	25	17	ER.A	-1	16	0.008247	9	0.004369	17	1.888	0.245260078003656	1.472	0.767	2.827	0.387	0.333	NA	1	1734500	1735500	protein_coding	+	info1157	info1157
Gene15	0.760478582971323	NA	1.257	0.531	2.973	0.439	0.2101035	1.80701488208983	0.178866738110525	2.897	1.838	4.566	0.232	44.9977515	173.837935213264	0	0.853288244786655	10	9	39	25	ER.A	-1	17	0.005782	22	0.00719	25	0.804	0.835893622874138	0.95	0.585	1.543	-0.051	0.247	NA	0.177042185610219	10	5	10	7	ER	0.00292873606884436	8	0.004124	2	0.000971	7	4.247	0.175272061435021	2.506	0.664	9.463	0.919	0.678	NA	1	21500	22500	protein_coding	+	info15	info15
Gene33	0.760657646462375	NA	1.124	0.442	2.858	0.476	0.3562945	4.64272058071772	0.031185526938618	3.417	2.237	5.221	0.216	7.766768	80.4066864328801	0	0.356881305317269	10	7	28	13	ER.A	-1	9	0.003061	19	0.006209	13	0.493	0.223944537463244	0.713	0.414	1.229	-0.338	0.278	NA	0.121264378345331	10	9	27	17	ER.A	-1	19	0.009794	8	0.003883	17	2.522	0.0734883371322923	1.85	0.943	3.628	0.615	0.344	NA	1	48500	49500	protein_coding	+	info33	info33
Gene487	0.761619101357873	NA	0.769	0.249	2.37	0.574	0.3952155	1.8396112276602	0.174996520576041	1.179	0.775	1.794	0.214	1.0869	3.30905276575404	0.0688991956945895	0.872711889126282	10	9	37	19	ER.A	-1	20	0.006803	17	0.005556	19	1.224	0.738165919270782	1.076	0.699	1.656	0.074	0.22	NA	0.0684206828678081	10	5	10	6	ER	0.00289171771988457	1	0.000515	9	0.004369	6	0.118	0.188525573944252	0.289	0.045	1.839	-1.242	0.945	NA	1	729500	730500	protein_coding	+	info487	info487
Gene11	0.762235468383819	NA	0.918	0.598	1.41	0.219	0	0.182089404791307	0.669583754028523	2.004	1.305	3.078	0.219	2.367417	24.3876710298839	7.87712023053722e-07	0.559548755819193	10	9	37	27	ER.A	-1	16	0.005442	21	0.006863	27	0.793	0.568239829986433	0.853	0.494	1.472	-0.159	0.279	NA	0.947058678749676	10	10	30	26	ER.A	-1	15	0.007732	15	0.007282	26	1.062	0.925174118353448	1.034	0.518	2.063	0.033	0.353	NA	1	15500	16500	protein_coding	+	info11	info11
Gene1052	0.762482806746094	NA	0.869	0.487	1.552	0.296	0	0.736058140739973	0.390926529553621	3.416	1.913	6.099	0.296	3.2628405	17.9076614156907	2.31885748702698e-05	0.428655267851206	10	5	13	9	ER	0.000993164198166653	4	0.001361	9	0.002941	9	0.463	0.33154081875307	0.614	0.229	1.643	-0.488	0.502	NA	0.878835943323198	10	7	19	12	ER	4.61473061115389e-05	10	0.005155	9	0.004369	12	1.18	0.902697088484554	1.046	0.511	2.141	0.045	0.366	NA	1	1577000	1578000	non_coding	-	info1052	info1052
Gene867	0.763932147537344	NA	0.924	0.581	1.47	0.237	0	0.0011400680478116	0.97306463072784	2.274	1.43	3.617	0.237	1.6231105	15.4566907743556	8.44175621953491e-05	0.953868026260921	10	10	29	23	ER.A	-1	14	0.004762	15	0.004902	23	0.971	0.828475356202382	0.931	0.49	1.77	-0.071	0.328	NA	0.377959021628857	10	10	20	14	ER	6.1596552655845e-06	9	0.004639	11	0.00534	14	0.869	0.799524337352512	0.917	0.469	1.792	-0.087	0.342	NA	1	1299500	1300500	protein_coding	+	info867	info867
Gene1286	0.763965479544808	NA	1.083	0.689	1.702	0.231	0	0.906931766832354	0.340929824048173	3.037	1.933	4.772	0.231	0.700888	7.33427925892454	0.0067651800275923	0.512998256646709	10	8	23	17	ER.A	-1	14	0.004762	9	0.002941	17	1.619	0.338633826720743	1.416	0.694	2.889	0.348	0.364	NA	0.704782707464643	10	10	24	14	ER.A	-1	10	0.005155	14	0.006796	14	0.759	0.736265342315512	0.905	0.504	1.622	-0.1	0.298	NA	1	1928000	1929000	non_coding	-	info1286	info1286
Gene1297	0.76456983215555	NA	1.114	0.736	1.687	0.212	0	0.341899982944498	0.558734563527341	1.996	1.319	3.022	0.212	1.5429795	14.8506790782848	0.00011636616629962	0.604059952117309	10	10	38	25	ER.A	-1	21	0.007143	17	0.005556	25	1.286	0.457305487480932	1.203	0.739	1.961	0.185	0.249	NA	0.878560023857747	10	9	13	7	ER	0.00292546274042613	6	0.003093	7	0.003398	7	0.91	0.820314314368229	0.913	0.416	2.004	-0.091	0.401	NA	1	1944500	1945500	protein_coding	+	info1297	info1297
Gene773	0.765613750920813	NA	0.999	0.734	1.361	0.158	0	0.849145246189571	0.356794255960614	1.535	1.127	2.092	0.158	4.6874275	51.5086229654812	7.12874204111813e-13	0.702364025634066	10	10	44	18	MA	-1	19	0.006463	25	0.00817	18	0.791	0.710909559143062	0.938	0.67	1.315	-0.064	0.172	NA	0.645611861096605	10	9	19	13	ER	2.13476264367136e-05	12	0.006186	7	0.003398	13	1.82	0.39960500983345	1.395	0.643	3.028	0.333	0.395	NA	1	1158500	1159500	protein_coding	+	info773	info773
Gene242	0.765682441270279	NA	0.904	0.441	1.852	0.366	0.133204	1.91360454868125	0.166563408702568	2.172	1.332	3.541	0.249	7.10844	49.754565313562	1.74227299254426e-12	0.321312130162387	10	9	40	33	ER.A	-1	15	0.005102	25	0.00817	33	0.624	0.182733813081875	0.67	0.372	1.207	-0.4	0.3	NA	0.643111079233062	10	10	13	7	ER	0.00156669642692702	9	0.004639	4	0.001942	7	2.389	0.439218043911738	1.415	0.587	3.409	0.347	0.449	NA	1	362000	363000	non_coding	-	info242	info242
Gene340	0.766091095417483	NA	0.896	0.451	1.778	0.35	0	0.28220892494929	0.595257050733237	2.952	1.487	5.858	0.35	1.406062	6.70410547667343	0.00961911745861821	0.687973397257184	10	4	16	16	ER	2.27381767059481e-06	8	0.002721	8	0.002614	16	1.041	0.857704132746054	1.097	0.397	3.032	0.093	0.518	NA	0.736789365430366	10	7	15	12	ER	6.48651172139486e-05	6	0.003093	9	0.004369	12	0.708	0.553826596939122	0.755	0.299	1.911	-0.28	0.474	NA	1	509000	510000	non_coding	-	info340	info340
Gene124	0.768603197742124	NA	0.963	0.646	1.436	0.204	0	0.711318950576705	0.399006299718276	2.302	1.544	3.433	0.204	0.7164475	9.56328811330903	0.00198507226411859	0.432635991566232	10	10	28	18	ER.A	-1	15	0.005102	13	0.004248	18	1.201	0.619890023395931	1.161	0.644	2.094	0.149	0.301	NA	0.641318613464757	10	9	27	12	ER.A	-1	9	0.004639	18	0.008738	12	0.531	0.479117111591174	0.822	0.478	1.414	-0.196	0.277	NA	1	185000	186000	non_coding	-	info124	info124
Gene1068	0.769492392651406	NA	1.111	0.748	1.649	0.202	0	0.00146147077564148	0.969504949653291	2.094	1.411	3.109	0.202	2.272969	23.9887734770868	9.68990611749376e-07	0.811262663778067	10	10	39	24	ER.A	-1	21	0.007143	18	0.005882	24	1.214	0.645605609186188	1.116	0.698	1.784	0.11	0.239	NA	0.891680816540936	10	7	18	12	ER	4.51893432317074e-05	10	0.005155	8	0.003883	12	1.328	0.803747265755081	1.098	0.527	2.288	0.093	0.375	NA	1	1601000	1602000	non_coding	-	info1068	info1068
Gene140	0.769985802097372	NA	0.995	0.723	1.37	0.163	0	0.000745465087385074	0.978217899373917	1.997	1.45	2.749	0.163	1.246556	23.9447895671701	9.91382364312621e-07	0.972409651882341	10	8	38	23	ER.A	-1	19	0.006463	19	0.006209	23	1.041	0.995871061791034	0.999	0.655	1.524	-0.001	0.216	NA	0.356211218106208	10	9	25	11	ER.A	-1	13	0.006701	12	0.005825	11	1.15	0.967946800218898	0.99	0.608	1.612	-0.01	0.249	NA	1	209000	210000	non_coding	-	info140	info140
Gene588	0.770276330328287	NA	1.071	0.715	1.602	0.206	0	0.423218191814152	0.515335581617026	2.363	1.579	3.536	0.206	1.0320235	13.0720034156441	0.000299742363115363	0.725218847964848	10	10	22	12	ER.A	-1	14	0.004762	8	0.002614	12	1.822	0.495994007219541	1.208	0.702	2.078	0.189	0.277	NA	0.579244903579878	10	10	26	18	ER.A	-1	11	0.00567	15	0.007282	18	0.779	0.794794569417352	0.923	0.506	1.684	-0.08	0.307	NA	1	881000	882000	non_coding	-	info588	info588
Gene1213	0.770303831290368	NA	1.177	0.662	2.093	0.294	0	0.724979025501088	0.394515539103691	5.819	3.272	10.348	0.294	4.892728	28.2750878699107	1.05241734882355e-07	0.864678859581081	10	6	16	14	ER	1.11252690280838e-05	7	0.002381	9	0.002941	14	0.81	0.758869315326738	0.867	0.35	2.151	-0.142	0.463	NA	0.528003234166589	10	7	22	16	ER.A	-1	14	0.007216	8	0.003883	16	1.858	0.332407911631348	1.445	0.686	3.043	0.368	0.38	NA	1	1818500	1819500	protein_coding	+	info1213	info1213
Gene449	0.77181185482822	NA	1.097	0.781	1.541	0.173	0	0.251943737358978	0.615709745530544	2.229	1.587	3.131	0.173	2.222644	35.1858451316204	2.99693969640913e-09	0.792020296618022	10	6	27	11	ER.A	-1	14	0.004762	13	0.004248	11	1.121	0.902612069117935	1.027	0.671	1.571	0.027	0.217	NA	0.68390340204539	10	8	25	13	ER.A	-1	15	0.007732	10	0.004854	13	1.593	0.471650040035459	1.231	0.699	2.166	0.208	0.288	NA	1	672500	673500	protein_coding	+	info449	info449
Gene678	0.772383364076365	NA	0.925	0.691	1.237	0.149	0	0.14527764508112	0.703089687244822	1.297	0.97	1.736	0.149	2.5393635	31.7107387542102	1.78930077421313e-08	0.647015238826556	10	9	40	12	ER.A	-1	15	0.005102	25	0.00817	12	0.624	0.524401668977114	0.902	0.657	1.239	-0.103	0.162	NA	0.89580979113004	10	6	20	14	ER	7.31831849641302e-06	10	0.005155	10	0.004854	14	1.062	0.889782892773212	1.053	0.507	2.187	0.052	0.373	NA	1	1016000	1017000	non_coding	-	info678	info678
Gene440	0.773831901946497	NA	0.982	0.593	1.625	0.257	0	0.0627803631303472	0.802154234254052	2.347	1.418	3.884	0.257	3.0777155	22.5215077636331	2.0780387233188e-06	0.938860454742184	10	10	25	18	ER.A	-1	11	0.003741	14	0.004575	18	0.818	0.835449417374475	0.935	0.498	1.757	-0.067	0.322	NA	0.482036097348425	10	7	16	13	ER	1.65819253393675e-05	8	0.004124	8	0.003883	13	1.062	0.875390206537239	1.069	0.463	2.471	0.067	0.427	NA	1	659000	660000	non_coding	-	info440	info440
Gene1078	0.775715536132989	NA	0.984	0.69	1.403	0.181	0.013897	1.24149795811973	0.26518255595909	1.668	1.222	2.277	0.159	0.6781395	12.7845077765227	0.000349501715777967	0.585736820439673	10	9	31	11	ER.A	-1	19	0.006463	12	0.003922	11	1.648	0.536508831453167	1.126	0.772	1.643	0.119	0.193	NA	0.457685393895619	10	7	23	10	ER.A	-1	8	0.004124	15	0.007282	10	0.566	0.352662217448846	0.772	0.447	1.332	-0.259	0.279	NA	1	1616000	1617000	non_coding	-	info1078	info1078
Gene568	0.778229453195947	NA	1.01	0.728	1.403	0.167	0	0.759503861704104	0.383483832456765	2.491	1.794	3.458	0.167	1.846684	33.6751302716906	6.51280340768778e-09	0.727429240589939	10	10	32	16	ER.A	-1	13	0.004422	19	0.006209	16	0.712	0.549410388896192	0.862	0.53	1.403	-0.149	0.248	NA	0.616294162047245	10	10	28	12	ER.A	-1	16	0.008247	12	0.005825	12	1.416	0.523946444412398	1.155	0.741	1.802	0.144	0.227	NA	1	851000	852000	non_coding	-	info568	info568
Gene874	0.779109234117104	NA	1.135	0.694	1.854	0.251	0	0.0286322313722071	0.865630982616034	3.088	1.889	5.046	0.251	1.999753	16.8497967012499	4.04576631501952e-05	0.903577563882901	10	10	18	13	ER	1.50486678118925e-05	10	0.003401	8	0.002614	13	1.301	0.627258565956928	1.181	0.603	2.312	0.166	0.343	NA	0.874682066749942	10	7	17	11	ER	4.41002449180465e-05	8	0.004124	9	0.004369	11	0.944	0.825880378979943	1.084	0.528	2.228	0.081	0.367	NA	1	1310000	1311000	non_coding	-	info874	info874
Gene1198	0.780082991682042	NA	0.873	0.451	1.689	0.337	0.1399495	2.55685402007954	0.109816918836444	1.679	1.128	2.497	0.203	0.4121095	5.58447033957227	0.0181204121377283	0.678006899771574	10	9	40	27	ER.A	-1	23	0.007823	17	0.005556	27	1.408	0.515572814234863	1.178	0.719	1.932	0.164	0.252	NA	0.242601795617076	10	10	26	14	ER.A	-1	7	0.003608	19	0.009223	14	0.391	0.131561022254623	0.598	0.307	1.166	-0.514	0.341	NA	1	1796000	1797000	non_coding	-	info1198	info1198
Gene354	0.781503319024628	NA	0.99	0.627	1.565	0.233	0	0.174740102723406	0.675933034700564	2.806	1.775	4.434	0.233	1.078654	10.5191591506786	0.00118143228663248	0.533587019075303	10	7	22	17	ER.A	-1	12	0.004082	10	0.003268	17	1.249	0.766604682075222	1.115	0.542	2.294	0.109	0.368	NA	0.83949509357373	10	7	21	11	ER.A	-1	9	0.004639	12	0.005825	11	0.796	0.766965399286312	0.914	0.506	1.653	-0.09	0.302	NA	1	530000	531000	non_coding	-	info354	info354
Gene824	0.782298097204615	NA	1.105	0.788	1.55	0.173	0	0.133982091016887	0.714338480091731	2.264	1.614	3.176	0.173	1.1775955	20.2598519851167	6.76044285441435e-06	0.739868505786644	10	10	42	27	MA	-1	24	0.008163	18	0.005882	27	1.388	0.49861772118824	1.166	0.747	1.82	0.154	0.227	NA	0.973935423633452	10	10	33	21	ER.A	-1	17	0.008763	16	0.007767	21	1.128	0.920548158652129	1.027	0.61	1.728	0.026	0.266	NA	1	1235000	1236000	non_coding	-	info824	info824
Gene353	0.783728539390072	NA	1.107	0.663	1.849	0.262	0.045379	1.49373837165022	0.221637335096293	2.495	1.641	3.795	0.214	0.632899	7.88614825533952	0.00498148408654187	0.353495856004576	10	7	34	24	ER.A	-1	21	0.007143	13	0.004248	24	1.681	0.228685561446448	1.422	0.801	2.524	0.352	0.293	NA	0.7633477948824	10	10	20	10	ER	0.000153317568543001	8	0.004124	12	0.005825	10	0.708	0.58349953927859	0.842	0.456	1.556	-0.172	0.313	NA	1	528500	529500	protein_coding	+	info353	info353
Gene589	0.784691239633513	NA	1.048	0.797	1.378	0.14	0	0.1789964299881	0.672237114955466	1.395	1.06	1.834	0.14	3.8838245	39.5147213407378	3.25595661543332e-10	0.976190526214017	10	10	30	7	ER.A	-1	17	0.005782	13	0.004248	7	1.361	0.858694526549454	1.027	0.768	1.373	0.026	0.148	NA	0.222710110008198	10	7	13	8	ER	0.000946274931696153	8	0.004124	5	0.002427	8	1.699	0.610419517954048	1.241	0.541	2.849	0.216	0.424	NA	1	882500	883500	protein_coding	+	info589	info589
Gene932	0.786084267028667	NA	1.141	0.705	1.847	0.246	0	0.0986015216852144	0.753514360932658	2.763	1.707	4.471	0.246	1.9051195	16.2418095413343	5.57500824105439e-05	0.740688933743682	10	9	26	19	ER.A	-1	15	0.005102	11	0.003595	19	1.419	0.538372278087455	1.217	0.651	2.273	0.196	0.319	NA	0.985570580529629	10	8	21	17	ER.A	-1	10	0.005155	11	0.00534	17	0.965	0.91937156515141	1.04	0.489	2.211	0.039	0.385	NA	1	1397000	1398000	non_coding	-	info932	info932
Gene180	0.788866394322145	NA	1.134	0.671	1.916	0.267	0	0.861784548554233	0.353239779804875	3.617	2.141	6.109	0.267	8.5504865	52.8758357297999	3.5527136788005e-13	0.65613287015614	10	7	30	24	ER.A	-1	14	0.004762	16	0.005229	24	0.911	0.892054856133197	0.957	0.507	1.806	-0.044	0.324	NA	0.431597399785447	10	5	13	9	ER	0.000290919785972587	8	0.004124	5	0.002427	9	1.699	0.302580151800545	1.631	0.644	4.131	0.489	0.474	NA	1	269000	270000	non_coding	-	info180	info180
Gene546	0.790347247922707	NA	1.101	0.779	1.557	0.177	0	2e-04	0.98871658444415	2.577	1.822	3.644	0.177	1.3740125	22.9842	1.6333832615345e-06	0.780633524684621	10	9	41	27	MA	-1	22	0.007483	19	0.006209	27	1.205	0.693265472269853	1.104	0.676	1.802	0.099	0.25	NA	0.84402020408481	10	7	20	9	ER	0.000469569057044747	12	0.006186	8	0.003883	9	1.593	0.707105950247014	1.099	0.673	1.794	0.094	0.25	NA	1	818000	819000	non_coding	-	info546	info546
Gene1320	0.790731112868132	NA	0.842	0.356	1.992	0.439	0.2779515	3.44544302795154	0.0634264152521145	1.632	1.063	2.504	0.218	0.2940435	3.58702193364479	0.0582325113993191	0.574894929644836	10	10	34	23	ER.A	-1	20	0.006803	14	0.004575	23	1.487	0.401139590023381	1.245	0.747	2.076	0.219	0.261	NA	0.13327731671921	10	10	23	13	ER.A	-1	5	0.002577	18	0.008738	13	0.295	0.0947636935899331	0.514	0.235	1.122	-0.666	0.399	NA	1	1979000	1980000	non_coding	-	info1320	info1320
Gene965	0.791863328632263	NA	1.049	0.689	1.596	0.214	0	0.168531362834831	0.681420343736037	1.879	1.235	2.859	0.214	5.259898	36.3339356788983	1.6624382981334e-09	0.732771643935138	10	10	43	28	MA	-1	21	0.007143	22	0.00719	28	0.993	0.982677818064585	1.005	0.63	1.603	0.005	0.238	NA	0.926134220665318	10	6	17	16	ER	1.09162003933203e-06	9	0.004639	8	0.003883	16	1.195	0.640520288051986	1.258	0.48	3.294	0.229	0.491	NA	1	1446500	1447500	protein_coding	+	info965	info965
Gene849	0.79232163124881	NA	1.03	0.472	2.248	0.398	0.199918	2.69873349959426	0.10042799531165	3.351	2.089	5.374	0.241	6.0845555	52.7013888593849	3.8835601401388e-13	0.463502033899949	10	8	27	19	ER.A	-1	10	0.003401	17	0.005556	19	0.612	0.276322430934292	0.703	0.373	1.325	-0.352	0.323	NA	0.382083535338544	10	9	25	18	ER.A	-1	17	0.008763	8	0.003883	18	2.257	0.218270182530616	1.561	0.768	3.17	0.445	0.362	NA	1	1272500	1273500	protein_coding	+	info849	info849
